date,Ben Zobrist,Evan Longoria,Sean Rodriguez,Hideki Matsui,Jose Molina,Ryan Roberts,B.J. Upton,Sam Fuld,Carlos Pena,Elliot Johnson,Desmond Jennings,Chris Gimenez,Matthew Joyce,Luke Scott,Jeff Keppinger,Jose Lobaton,Will Rhymes
4/6/12,1.63,2.50,1.20,0.00,0.71,0.00,0.00,0.00,2.60,0.00,1.90,0.00,0.00,0.71,1.80,0.00,0.00
4/7/12,1.70,2.30,1.16,0.00,0.36,0.00,0.00,0.00,2.40,0.00,1.83,0.00,1.86,1.30,0.90,0.64,0.00
4/8/12,1.68,2.50,0.77,0.00,0.24,0.00,0.00,0.00,2.50,0.00,1.22,0.00,2.02,1.26,1.60,0.43,0.00
4/10/12,1.49,2.45,0.58,0.00,0.50,0.00,0.00,0.00,2.63,0.00,1.24,0.00,1.74,0.95,1.20,0.32,0.00
4/11/12,1.55,2.40,0.46,0.00,0.40,0.00,0.00,0.00,2.39,0.14,1.17,0.00,1.39,0.76,1.14,0.44,0.00
4/12/12,1.41,2.48,0.39,0.00,0.55,0.00,0.00,0.00,2.73,0.39,1.22,0.00,1.16,0.63,0.95,0.52,0.00
4/13/12,1.74,2.13,0.33,0.00,0.60,0.00,0.00,0.00,2.53,0.33,1.04,0.00,1.12,0.54,1.00,0.44,0.00
4/14/12,1.61,1.86,0.40,0.00,0.63,0.00,0.00,0.00,2.37,0.29,1.00,0.00,1.18,0.90,0.87,0.39,0.00
4/15/12,1.43,1.88,0.56,0.00,0.66,0.00,0.00,0.00,2.25,0.26,1.13,0.20,1.23,1.03,1.02,0.34,0.00
4/16/12,1.47,1.76,0.66,0.00,0.60,0.00,0.00,0.00,2.26,0.23,1.33,0.18,1.20,1.02,0.99,0.31,0.00
4/17/12,1.38,1.32,0.57,0.00,0.53,0.00,0.00,0.00,2.14,0.23,1.08,0.40,1.50,1.02,0.90,0.31,0.00
4/18/12,1.39,1.35,0.85,0.00,0.69,0.00,0.00,0.00,1.98,0.23,1.13,0.40,1.59,1.01,0.90,0.18,0.00
4/19/12,1.55,1.56,0.94,0.00,0.69,0.00,0.00,0.00,1.78,0.33,1.54,0.40,1.43,1.14,0.60,0.18,0.00
4/20/12,1.60,1.63,1.03,0.00,0.56,0.00,0.00,0.00,1.62,0.33,1.50,0.40,1.64,1.14,0.60,0.18,0.00
4/21/12,1.42,1.63,1.03,0.00,0.84,0.00,0.25,0.00,1.78,0.26,1.50,0.40,1.80,1.27,0.51,0.09,0.00
4/22/12,1.35,1.65,1.20,0.00,0.71,0.00,0.25,0.00,1.48,0.20,1.57,0.56,1.80,1.27,0.51,0.00,0.00
4/24/12,0.98,1.84,1.20,0.00,0.71,0.00,0.46,0.00,1.56,0.20,1.78,0.56,1.80,1.57,0.38,0.00,0.00
4/25/12,1.15,1.98,1.20,0.00,0.62,0.00,0.46,0.00,1.55,0.20,1.89,0.56,1.71,1.39,0.51,0.00,0.00
4/26/12,1.34,1.78,1.13,0.00,0.53,0.00,0.65,0.00,1.49,0.20,1.84,0.38,1.84,1.25,0.29,0.00,0.00
4/27/12,1.36,2.08,0.97,0.00,0.53,0.00,0.92,0.00,1.26,0.41,1.70,0.56,1.75,1.37,0.49,0.00,0.00
